id_transacao,data,descricao,categoria,tipo,valor,canal
TX00023,2026-02-01,Delivery de comida,alimentacao,debito,42.44,cartao_credito
TX00016,2026-02-02,Restaurante,alimentacao,debito,32.11,cartao_debito
TX00040,2026-02-02,Posto de combustivel,transporte,debito,237.5,cartao_debito
TX00009,2026-02-03,Streaming de video A,assinaturas,debito,39.9,cartao_credito
TX00012,2026-02-04,Restaurante,alimentacao,debito,142.2,cartao_debito
TX00037,2026-02-04,Aplicativo de transporte,transporte,debito,33.36,cartao_credito
TX00001,2026-02-05,Salario liquido,salario,credito,6800.0,ted
TX00002,2026-02-05,Aluguel,moradia,debito,1754.58,debito_automatico
TX00003,2026-02-05,Condominio,moradia,debito,433.48,debito_automatico
TX00013,2026-02-05,Restaurante,alimentacao,debito,40.7,pix
TX00033,2026-02-05,Aplicativo de transporte,transporte,debito,40.14,cartao_debito
TX00022,2026-02-06,Delivery de comida,alimentacao,debito,52.59,cartao_credito
TX00030,2026-02-06,Supermercado,mercado,debito,145.14,cartao_credito
TX00044,2026-02-06,Farmacia,saude,debito,56.01,cartao_credito
TX00010,2026-02-07,Streaming de video B,assinaturas,debito,34.9,cartao_credito
TX00007,2026-02-08,Mensalidade curso,educacao,debito,389.0,debito_automatico
TX00006,2026-02-10,Plano de saude,saude,debito,512.0,debito_automatico
TX00011,2026-02-11,Streaming de musica,assinaturas,debito,21.9,cartao_credito
TX00036,2026-02-11,Aplicativo de transporte,transporte,debito,35.66,pix
TX00004,2026-02-12,Energia eletrica,moradia,debito,170.52,debito_automatico
TX00041,2026-02-12,Cinema e eventos,lazer,debito,62.7,pix
TX00035,2026-02-14,Aplicativo de transporte,transporte,debito,59.21,cartao_debito
TX00005,2026-02-15,Internet banda larga,moradia,debito,108.42,debito_automatico
TX00043,2026-02-15,Loja de roupas,vestuario,debito,267.94,cartao_debito
TX00017,2026-02-16,Restaurante,alimentacao,debito,28.79,cartao_debito
TX00019,2026-02-16,Restaurante,alimentacao,debito,48.37,pix
TX00026,2026-02-16,Delivery de comida,alimentacao,debito,45.55,pix
TX00039,2026-02-16,Posto de combustivel,transporte,debito,168.03,pix
TX00025,2026-02-17,Delivery de comida,alimentacao,debito,60.28,cartao_debito
TX00015,2026-02-19,Restaurante,alimentacao,debito,118.23,cartao_credito
TX00021,2026-02-19,Delivery de comida,alimentacao,debito,51.38,cartao_debito
TX00008,2026-02-20,Seguro do carro,transporte,debito,210.0,debito_automatico
TX00027,2026-02-20,Supermercado,mercado,debito,145.77,cartao_debito
TX00032,2026-02-20,Aplicativo de transporte,transporte,debito,28.67,cartao_credito
TX00042,2026-02-20,Cinema e eventos,lazer,debito,82.87,cartao_debito
TX00014,2026-02-21,Restaurante,alimentacao,debito,36.24,pix
TX00029,2026-02-22,Supermercado,mercado,debito,272.52,pix
TX00034,2026-02-22,Aplicativo de transporte,transporte,debito,57.95,cartao_debito
TX00031,2026-02-23,Aplicativo de transporte,transporte,debito,15.77,pix
TX00028,2026-02-24,Supermercado,mercado,debito,432.52,cartao_debito
TX00038,2026-02-24,Aplicativo de transporte,transporte,debito,42.86,cartao_credito
TX00020,2026-02-25,Restaurante,alimentacao,debito,101.63,pix
TX00024,2026-02-25,Delivery de comida,alimentacao,debito,44.19,cartao_credito
TX00018,2026-02-26,Restaurante,alimentacao,debito,94.26,cartao_debito
TX00045,2026-02-27,Farmacia,saude,debito,73.19,cartao_debito
TX00078,2026-03-01,Aplicativo de transporte,transporte,debito,20.77,cartao_debito
TX00079,2026-03-01,Aplicativo de transporte,transporte,debito,18.06,cartao_credito
TX00080,2026-03-01,Aplicativo de transporte,transporte,debito,63.04,pix
TX00062,2026-03-02,Restaurante,alimentacao,debito,88.45,pix
TX00054,2026-03-03,Streaming de video A,assinaturas,debito,39.9,cartao_credito
TX00060,2026-03-03,Restaurante,alimentacao,debito,66.66,pix
TX00064,2026-03-03,Restaurante,alimentacao,debito,45.32,pix
TX00087,2026-03-03,Cinema e eventos,lazer,debito,177.02,cartao_debito
TX00046,2026-03-05,Salario liquido,salario,credito,6800.0,ted
TX00047,2026-03-05,Aluguel,moradia,debito,1739.88,debito_automatico
TX00048,2026-03-05,Condominio,moradia,debito,403.13,debito_automatico
TX00058,2026-03-05,Restaurante,alimentacao,debito,123.39,cartao_debito
TX00055,2026-03-07,Streaming de video B,assinaturas,debito,34.9,cartao_credito
TX00059,2026-03-07,Restaurante,alimentacao,debito,69.3,cartao_debito
TX00069,2026-03-07,Delivery de comida,alimentacao,debito,41.1,pix
TX00052,2026-03-08,Mensalidade curso,educacao,debito,389.0,debito_automatico
TX00076,2026-03-08,Supermercado,mercado,debito,194.81,pix
TX00072,2026-03-09,Delivery de comida,alimentacao,debito,79.74,cartao_credito
